what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1369603559938
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369603561002
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369603563730
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1369603563734
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1369603569709
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1369603600367
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369603601746
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369603604747
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1369603608886
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369603609769
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369603643507
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369603649001
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369603654636
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369603655475
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369603657406
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1369603666007
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369603679873
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369603682627
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1369603687645
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1369603688475
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369603689442
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369603698852
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1369603703942
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1369603704623
no handler,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.commands.Display",1369603704955
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369603706290
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369603710091
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369603712082
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369603712928
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369603716897
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369603726791
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369603734049
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369603739320
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369603739542
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1369603742459
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1369603744966
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369603746410
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369603752076
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1369603754234
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1369603755156
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369603755874
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369603762524
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369603764273
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369603769852
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1369603777045
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369603777642
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369603847227
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1369603858180
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369603871209
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369603874878
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1369603881923
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineEnd",1369603889613
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.copyLineDown",1369603890566
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1369603892515
