127.0.0.1 - - [03/Sep/2013:19:51:32 -0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [03/Sep/2013:19:51:38 -0300] "GET /Baggins/ HTTP/1.1" 500 6937
0:0:0:0:0:0:0:1 - - [03/Sep/2013:19:51:39 -0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [03/Sep/2013:19:52:11 -0300] "GET /Baggins/ HTTP/1.1" 200 7680
0:0:0:0:0:0:0:1 - - [03/Sep/2013:19:52:11 -0300] "GET /Baggins/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 200 28091
0:0:0:0:0:0:0:1 - - [03/Sep/2013:19:52:11 -0300] "GET /Baggins/javax.faces.resource/layout/layout.css.xhtml?ln=primefaces HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [03/Sep/2013:19:52:11 -0300] "GET /Baggins/javax.faces.resource/style.css.xhtml?ln=css HTTP/1.1" 200 5059
0:0:0:0:0:0:0:1 - - [03/Sep/2013:19:52:11 -0300] "GET /Baggins/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces HTTP/1.1" 200 227903
0:0:0:0:0:0:0:1 - - [03/Sep/2013:19:52:11 -0300] "GET /Baggins/javax.faces.resource/layout/layout.js.xhtml?ln=primefaces HTTP/1.1" 200 87964
0:0:0:0:0:0:0:1 - - [03/Sep/2013:19:52:11 -0300] "GET /Baggins/RES_NOT_FOUND HTTP/1.1" 404 993
0:0:0:0:0:0:0:1 - - [03/Sep/2013:19:52:11 -0300] "GET /Baggins/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces HTTP/1.1" 200 105210
0:0:0:0:0:0:0:1 - - [03/Sep/2013:19:52:11 -0300] "GET /Baggins/javax.faces.resource/maskMoneyjs.js.xhtml?ln=js HTTP/1.1" 200 11401
0:0:0:0:0:0:0:1 - - [03/Sep/2013:19:52:11 -0300] "GET /Baggins/javax.faces.resource/javaEu.js.xhtml?ln=js HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [03/Sep/2013:19:52:11 -0300] "GET /Baggins/javax.faces.resource/primefaces.css.xhtml?ln=primefaces HTTP/1.1" 200 50552
0:0:0:0:0:0:0:1 - - [03/Sep/2013:19:52:11 -0300] "GET /Baggins/javax.faces.resource/primefaces.js.xhtml?ln=primefaces HTTP/1.1" 200 233831
0:0:0:0:0:0:0:1 - - [03/Sep/2013:19:52:11 -0300] "GET /Baggins/javax.faces.resource/stylejquery.css.xhtml?ln=css HTTP/1.1" 200 33518
0:0:0:0:0:0:0:1 - - [03/Sep/2013:19:52:11 -0300] "GET /Baggins/javax.faces.resource/logo-utfpr.jpg.xhtml?ln=images HTTP/1.1" 200 117885
0:0:0:0:0:0:0:1 - - [03/Sep/2013:19:52:11 -0300] "GET /Baggins/javax.faces.resource/css/images/ui-bg_highlight-soft_100_ffffff_1x100.png.xhtml HTTP/1.1" 200 203
0:0:0:0:0:0:0:1 - - [03/Sep/2013:19:52:11 -0300] "GET /Baggins/javax.faces.resource/css/images/ui-bg_glass_100_fefea1_1x400.png.xhtml HTTP/1.1" 200 319
0:0:0:0:0:0:0:1 - - [03/Sep/2013:19:52:11 -0300] "GET /Baggins/javax.faces.resource/css/images/ui-icons_ef8c08_256x240.png.xhtml HTTP/1.1" 200 4549
0:0:0:0:0:0:0:1 - - [03/Sep/2013:19:52:13 -0300] "GET /Baggins/javax.faces.resource/css/images/ui-bg_glass_100_fdf5ce_1x400.png.xhtml HTTP/1.1" 200 348
